Note Name,Parent Node,Category,Connections,Description
22 CFR Part 62,GOVERNANCE/LAW/FEDERAL REGULATION,Immigration,"""[[Exchange Visitor]], [[J-1]], [[DOS]]""","""Regulations for the J-1 Exchange Visitor training program."""
"42 CFR Parts 482, 485, 493 (Healthcare)",GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[Medicare]], [[Staff Training]], [[CMS]]""","""Medicare Conditions of Participation regarding staff training."""
42 CFR Part 483 (Long-Term Care),GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[Long-Term Care]], [[Nursing Home]], [[CMS]]""","""Training requirements for long-term care facilities."""
49 CFR Part 380,GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[Commercial Driver]], [[CDL]], [[DOT]]""","""Commercial driver training standards."""
49 CFR Part 40 (Testing),GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[Drug Testing]], [[Alcohol Testing]], [[DOT]]""","""Training for drug and alcohol test collectors."""
18 CFR Part 12,GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[FERC]], [[Safety Training]], [[Hydropower]]""","""Safety training requirements for hydropower under FERC."""
"30 CFR Parts 46, 48, 75 (MSHA)",GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[MSHA]], [[Mine Safety]], [[Comprehensive]]""","""Extensive mine safety training regulations."""
9 CFR Part 416,GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[Sanitation]], [[Meat/Poultry]], [[USDA]]""","""Sanitation training requirements for meat and poultry facilities."""
21 CFR Part 117,GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[FSMA]], [[Food Safety]], [[FDA]]""","""Preventive controls training under the Food Safety Modernization Act."""
40 CFR Part 144,GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[Underground Injection]], [[Operator Training]], [[EPA]]""","""Training for underground injection control operators."""
40 CFR Part 503,GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[Sewage Sludge]], [[Disposal Training]], [[EPA]]""","""Training for sewage sludge use and disposal."""
32 CFR Part 117,GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[NISPOM]], [[National Security]], [[DOD]]""","""National Industrial Security Program Operating Manual training."""
32 CFR Part 154,GOVERNANCE/LAW/FEDERAL REGULATION,Sector-Specific,"""[[Personnel Security]], [[Clearance]], [[DOD]]""","""Personnel security training requirements."""
ANSI/IACET 2018-1,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,ISD/ADDIE Process,"""[[IACET]], [[Continuing Education]], [[Planning Phase]]""","""Standard for Continuing Education and Training providers."""
ISO 29990:2010,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,ISD/ADDIE Process,"""[[ISO]], [[Non-Formal Education]], [[Planning Phase]]""","""Learning Services for Non-Formal Education and Training."""
ISO 29993:2017,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,ISD/ADDIE Process,"""[[ISO]], [[Formal Education]], [[Planning Phase]]""","""Learning services outside formal education."""
ISO 21001:2018,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,ISD/ADDIE Process,"""[[ISO]], [[Educational Management]], [[Planning Phase]]""","""Educational Organizations Management Systems."""
ASTD Competency Model,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,ISD/ADDIE Process,"""[[ATD]], [[Competency]], [[Talent Development]]""","""Association for Talent Development competency standards."""
IBSTPI Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,ISD/ADDIE Process,"""[[IBSTPI]], [[Performance]], [[Instruction]]""","""Standards from the International Board of Standards for Training, Performance and Instruction."""
IEEE 1484 Series,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,ISD/ADDIE Process,"""[[IEEE]], [[Learning Tech]], [[Planning Phase]]""","""Standards suite for learning technology."""
IMS Global Learning Consortium Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,ISD/ADDIE Process,"""[[IMS Global]], [[Interoperability]], [[Planning Phase]]""","""Educational technology interoperability standards."""
Bloom's Taxonomy,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learning Objectives,"""[[Bloom]], [[Cognitive Domain]], [[Design Phase]]""","""Revised Anderson & Krathwohl model for classifying learning objectives."""
Merrill's Principles of Instruction,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learning Objectives,"""[[Merrill]], [[Instructional Design]], [[Design Phase]]""","""Core principles for effective instructional design."""
Gagn�'s Nine Events of Instruction,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learning Objectives,"""[[Gagn�]], [[Instructional Delivery]], [[Design Phase]]""","""Framework for the sequence of instructional events."""
Kirkpatrick Model,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learning Objectives,"""[[Kirkpatrick]], [[Evaluation]], [[Design Phase]]""","""Four Levels of Training Evaluation for design consideration."""
Phillips ROI Methodology,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learning Objectives,"""[[Phillips]], [[ROI]], [[Evaluation Phase]]""","""Level 5 evaluation planning for return on investment."""
DACUM Process,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learning Objectives,"""[[DACUM]], [[Curriculum]], [[Analysis Phase]]""","""Developing a Curriculum process for job analysis."""
O*NET Content Model,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learning Objectives,"""[[O*NET]], [[Occupational Competency]], [[Analysis Phase]]""","""Framework for identifying occupational competencies."""
NIST NICE Framework,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Learning Objectives,"""[[NIST]], [[Cybersecurity]], [[Competency]]""","""Cybersecurity workforce competency framework."""
WCAG 2.1/2.2,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Accessibility & Design,"""[[WCAG]], [[Web Accessibility]], [[Level A/AA/AAA]]""","""Web Content Accessibility Guidelines."""
ISO/IEC 40500:2012,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Accessibility & Design,"""[[ISO]], [[WCAG 2.0]], [[International]]""","""The ISO standard equivalent of W3C WCAG 2.0."""
EN 301 549,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Accessibility & Design,"""[[European]], [[Accessibility]], [[US Reference]]""","""European accessibility standard often referenced in the US."""
UDL Guidelines 3.0,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Accessibility & Design,"""[[UDL]], [[CAST]], [[Universal Design]]""","""Universal Design for Learning guidelines from CAST."""
ISO 9241-171:2008,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Accessibility & Design,"""[[ISO]], [[Ergonomics]], [[Accessibility]]""","""Ergonomics of human-system interaction specifically for software accessibility."""
ATAG 2.0,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Accessibility & Design,"""[[ATAG]], [[Authoring Tools]], [[Accessibility]]""","""Authoring Tool Accessibility Guidelines."""
UAAG 2.0,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Accessibility & Design,"""[[UAAG]], [[User Agents]], [[Accessibility]]""","""User Agent Accessibility Guidelines."""
Section 508 Trusted Tester Process,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Accessibility & Design,"""[[Section 508]], [[Trusted Tester]], [[Testing]]""","""Accessibility testing methodology for federal compliance."""
SCORM 1.2/2004,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[ADL]], [[SCORM]], [[E-Learning]]""","""Sharable Content Object Reference Model for interoperability."""
xAPI (Tin Can API),GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[ADL]], [[xAPI]], [[Experience API]]""","""Experience API standard for tracking learning activities."""
AICC CMI,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[AICC]], [[Aviation]], [[LMS Standard]]""","""Aviation Industry CBT Committee standards for courseware."""
IEEE LOM,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[IEEE]], [[Metadata]], [[Learning Object]]""","""Learning Object Metadata standard."""
IMS Common Cartridge,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[IMS Global]], [[Packaging]], [[Interoperability]]""","""Standard for packaging and exchanging digital learning content."""
IMS QTI,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[IMS Global]], [[Assessment]], [[Testing]]""","""Question and Test Interoperability standard."""
IMS LTI,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[IMS Global]], [[Integration]], [[LTI]]""","""Learning Tools Interoperability for connecting systems."""
cmi5,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[cmi5]], [[xAPI]], [[LMS Integration]]""","""The xAPI profile specifically for LMS-launched content."""
Dublin Core Metadata,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[Metadata]], [[Resource Description]]""","""Basic resource description and metadata standard."""
MIME Type Standards,GOVERNANCE/INTERNAL POLICY/TECHNICAL STANDARD,Content Development,"""[[Media Format]], [[Web Standards]]""","""Specifications for media formats in training delivery."""
Creative Commons Licensing Framework,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Intellectual Property,"""[[Creative Commons]], [[Licensing]], [[Open Content]]""","""Framework for open content licensing."""
Open Educational Resources (OER) Commons Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Intellectual Property,"""[[OER]], [[Commons]], [[Educational Resources]]""","""Standards for shared open educational resources."""
MIT OpenCourseWare Guidelines,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Intellectual Property,"""[[MIT]], [[Open Courseware]], [[Design Guidelines]]""","""Guidelines used for open courseware development."""
Fair Use Best Practices,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Intellectual Property,"""[[Fair Use]], [[Copyright]], [[Best Practice]]""","""Disciplinary codes for applying fair use in training."""
ACGME Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Healthcare,"""[[ACGME]], [[Medical Education]], [[Residency]]""","""Accreditation Council for Graduate Medical Education standards."""
LCME Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Healthcare,"""[[LCME]], [[Medical Education]], [[Accreditation]]""","""Liaison Committee on Medical Education standards."""
Joint Commission Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Healthcare,"""[[Joint Commission]], [[Hospital]], [[Staff Training]]""","""Hospital-specific training and accreditation requirements."""
ANCC Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Healthcare,"""[[Nursing]], [[ANCC]], [[Credentialing]]""","""American Nurses Credentialing Center training standards."""
ACCME Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Healthcare,"""[[CME]], [[Medical Education]], [[ACCME]]""","""Continuing Medical Education accreditation standards."""
AAMA Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Healthcare,"""[[Medical Assistant]], [[AAMA]], [[SME Standards]]""","""Standards for medical assistant training."""
CAAHEP Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Healthcare,"""[[Allied Health]], [[Education]], [[CAAHEP]]""","""Standards for Allied Health Education Programs."""
NBSTSA Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Healthcare,"""[[Surgical Tech]], [[NBSTSA]], [[SME Standards]]""","""Standards for surgical technology training."""
ICAO Annex 1,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Aviation,"""[[ICAO]], [[Licensing]], [[International]]""","""International personnel licensing standards."""
ICAO Doc 9868,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Aviation,"""[[ICAO]], [[Training Procedures]], [[International]]""","""International procedures for aviation training."""
FAA AC 120-54A,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Aviation,"""[[FAA]], [[AQP]], [[Advanced Qualification]]""","""Advanced Qualification Program standards for flight crew."""
IATA Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Aviation,"""[[IATA]], [[Airline]], [[International]]""","""Training standards for the global airline industry."""
NATOPS,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Aviation,"""[[Navy]], [[Aviation]], [[Standardization]]""","""Naval Air Training and Operating Procedures Standardization."""
ISO 9001:2015 Clause 7.2,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Manufacturing,"""[[ISO]], [[Competence]], [[Quality Management]]""","""Specific competence requirements within quality management systems."""
AS9100,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Manufacturing,"""[[Aerospace]], [[Quality Management]], [[AS9100]]""","""Aerospace quality management training requirements."""
IATF 16949,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Manufacturing,"""[[Automotive]], [[Quality Management]], [[IATF]]""","""Automotive quality management training standards."""
API Spec Q1/Q2,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Manufacturing,"""[[Oil & Gas]], [[Quality]], [[API]]""","""Training requirements for oil and gas quality management."""
ASME NQA-1,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Manufacturing,"""[[Nuclear]], [[Quality Assurance]], [[ASME]]""","""Nuclear quality assurance training requirements."""
ITIL Framework,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: IT,"""[[ITIL]], [[Service Management]], [[IT Training]]""","""IT Service Management training and framework standards."""
COBIT Framework,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: IT,"""[[COBIT]], [[IT Governance]], [[IT Training]]""","""IT Governance training and control standards."""
TOGAF,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: IT,"""[[TOGAF]], [[Enterprise Architecture]], [[IT Training]]""","""Enterprise Architecture training standards."""
PMI PMBOK,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: IT,"""[[PMI]], [[PMBOK]], [[Project Management]]""","""Project Management Body of Knowledge for training."""
Agile/Scrum Alliance Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: IT,"""[[Agile]], [[Scrum]], [[Certification]]""","""Agile training and scrum certification pathways."""
CompTIA Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: IT,"""[[CompTIA]], [[IT Certification]], [[Pathways]]""","""Standards for IT certification and skills pathways."""
EC-Council Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: IT,"""[[EC-Council]], [[Cybersecurity]], [[Ethical Hacking]]""","""Standards for cybersecurity and ethical hacking training."""
ISC� CBK,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: IT,"""[[ISC�]], [[CISSP]], [[Security Training]]""","""Common Body of Knowledge for information security professionals."""
ISACA CISM/CISA,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: IT,"""[[ISACA]], [[IT Audit]], [[Security Management]]""","""Training standards for IT audit and security management."""
FINRA Continuing Education,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Finance,"""[[FINRA]], [[Securities]], [[Continuing Ed]]""","""Training standards for the securities industry."""
CFP Board Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Finance,"""[[CFP]], [[Financial Planning]], [[Education]]""","""Standards for financial planning education and certification."""
CFA Institute Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Finance,"""[[CFA]], [[Investment Analysis]], [[Education]]""","""Training standards for investment analysis and ethics."""
GARP FRM Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Finance,"""[[GARP]], [[Risk Management]], [[Financial Risk]]""","""Standards for financial risk management training."""
ABA Model Rules,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Finance,"""[[ABA]], [[Legal Education]], [[Banking Attorneys]]""","""Legal continuing education standards for banking attorneys."""
NCCER Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Trades,"""[[NCCER]], [[Construction]], [[Craft Training]]""","""National Center for Construction Education & Research standards."""
ABC Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Trades,"""[[Builders]], [[Contractors]], [[ABC]]""","""Associated Builders and Contractors training frameworks."""
NECA Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Trades,"""[[NECA]], [[Electrical]], [[Contracting]]""","""Standards for electrical contracting and safety training."""
PHCC Training Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Trades,"""[[Plumbing]], [[Heating]], [[Cooling]]""","""Standards for plumbing, heating, and cooling training."""
SMACNA Standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Sector: Trades,"""[[Sheet Metal]], [[SMACNA]], [[HVAC]]""","""Standards for sheet metal and HVAC craft training."""
